key,name
berlin,Berlin
bielefeld,Bielefeld
bonn,Bonn
bremen,Bremen
delmenhorst,Delmenhorst
dortmund,Dortmund
flensburg,Flensburg
frankfurt,Frankfurt
fulda,Fulda
fürth,Fürth
göttingen,Göttingen
hamburg,Hamburg
hannover,Hannover
ingolstadt,Ingolstadt
jena,Jena
kassel,Kassel
kiel,Kiel
köln,Köln
lübeck,Lübeck
lüneburg,Lüneburg
münchen,München
neumünster,Neumünster
norderstedt,Norderstedt
nürnberg,Nürnberg
oldenburg,Oldenburg
osnabrück,Osnabrück
potsdam,Potsdam
rostock,Rostock
schwerin,Schwerin
wiesbaden,Wiesbaden
wolfsburg,Wolfsburg
würzburg,Würzburg
